State,City,Year,Population,ViolentCrime,Murder,Rape,Robbery
TEXAS,ROUND ROCK,2018,127354,79,1,20,13
TEXAS,ROUND ROCK,2019,127354,77,1,10,28
TEXAS,SAN ANGELO,2018,101084,198,1,52,24
TEXAS,SAN ANGELO,2019,101084,176,4,30,13
TEXAS,SAN ANTONIO,2018,1539328,4916,58,680,873
TEXAS,SAN ANTONIO,2019,1539328,5171,53,717,926
TEXAS,TYLER,2018,106159,178,0,32,28
TEXAS,TYLER,2019,106159,191,0,33,22
TEXAS,WACO,2018,138091,376,2,56,57
TEXAS,WACO,2019,138091,377,5,52,53
TEXAS,WICHITA FALLS,2018,104738,199,4,45,67
TEXAS,WICHITA FALLS,2019,104738,186,3,48,34
UTAH,PROVO,2018,117986,115,1,42,9
UTAH,PROVO,2019,117986,74,1,26,5
UTAH,SALT LAKE CITY,2018,202633,718,3,125,201
UTAH,SALT LAKE CITY,2019,202633,673,7,119,191
UTAH,WEST JORDAN,2018,115392,130,0,24,26
UTAH,WEST JORDAN,2019,115392,112,0,13,11
UTAH,WEST VALLEY,2018,137132,488,6,93,79
UTAH,WEST VALLEY,2019,137132,474,4,88,71
VIRGINIA,ALEXANDRIA,2018,162588,125,1,16,36
VIRGINIA,ALEXANDRIA,2019,162588,137,1,7,44
VIRGINIA,CHESAPEAKE,2018,242310,506,1,55,70
VIRGINIA,CHESAPEAKE,2019,242310,524,3,51,76
VIRGINIA,NEWPORT NEWS,2018,178734,445,16,49,100
VIRGINIA,NEWPORT NEWS,2019,178734,472,8,27,78
VIRGINIA,NORFOLK,2018,244347,554,20,63,144
VIRGINIA,NORFOLK,2019,244347,601,13,70,140
VIRGINIA,ROANOKE,2018,100042,208,5,26,53
VIRGINIA,ROANOKE,2019,100042,209,6,28,45
VIRGINIA,VIRGINIA BEACH,2018,451001,275,6,36,89
VIRGINIA,VIRGINIA BEACH,2019,451001,250,15,42,87
WASHINGTON,BELLEVUE,2018,146913,95,0,14,34
WASHINGTON,BELLEVUE,2019,146913,107,1,15,36
WASHINGTON,EVERETT,2018,111091,182,1,23,50
WASHINGTON,EVERETT,2019,111091,168,4,20,38
WASHINGTON,KENT,2018,129870,238,4,47,101
WASHINGTON,KENT,2019,129870,221,1,45,101
WASHINGTON,SPOKANE,2018,218222,814,4,190,109
WASHINGTON,SPOKANE,2019,218222,761,2,125,136
WISCONSIN,GREEN BAY,2018,105281,247,1,43,25
WISCONSIN,GREEN BAY,2019,105281,242,2,35,27
WISCONSIN,MADISON,2018,258455,501,2,57,90
WISCONSIN,MADISON,2019,258455,434,0,49,97
WISCONSIN,MILWAUKEE,2018,595619,4190,53,284,1080
WISCONSIN,MILWAUKEE,2019,595619,3429,44,169,761
